name,slug, metric tonnes of CO2,date_of_information,ranking,region
"China","china","10,773,248,000","2019",1,"East and Southeast Asia"
"United States of America","united-states","5,144,361,000","2019",2,"North America"
"India","india","2,314,738,000","2019",3,"South Asia"
"Russia","russia","1,848,070,000","2019",4,"Central Asia"
"Japan","japan","1,103,234,000","2019",5,"East and Southeast Asia"
"Germany","germany","726,881,000","2019",6,"Europe"
"Korea, South","korea-south","686,954,000","2019",7,"East and Southeast Asia"
"Iran","iran","646,038,000","2019",8,"Middle East"
"Canada","canada","612,084,000","2019",9,"North America"
"Saudi Arabia","saudi-arabia","579,925,000","2019",10,"Middle East"
"Indonesia","indonesia","563,543,000","2019",11,"East and Southeast Asia"
"South Africa","south-africa","470,358,000","2019",12,"Africa"
"Mexico","mexico","463,739,000","2019",13,"North America"
"Brazil","brazil","456,670,000","2019",14,"South America"
"Australia","australia","417,870,000","2019",15,"Australia and Oceania"
"United Kingdom","united-kingdom","398,084,000","2019",16,"Europe"
"Turkey (Turkiye)","turkey-turkiye","391,792,000","2019",17,"Middle East"
"France","france","338,425,000","2019",18,"Europe"
"Italy","italy","332,041,000","2019",19,"Europe"
"Thailand","thailand","305,273,000","2019",20,"East and Southeast Asia"
"Poland","poland","304,040,000","2019",21,"Europe"
"Spain","spain","280,624,000","2019",22,"Europe"
"Taiwan","taiwan","279,206,000","2019",23,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","276,236,000","2019",24,"Middle East"
"Kazakhstan","kazakhstan","263,689,000","2019",25,"Central Asia"
"Malaysia","malaysia","254,764,000","2019",26,"East and Southeast Asia"
"Vietnam","vietnam","249,929,000","2019",27,"East and Southeast Asia"
"Singapore","singapore","238,983,000","2019",28,"East and Southeast Asia"
"Egypt","egypt","235,137,000","2019",29,"Africa"
"Netherlands","netherlands","214,416,000","2019",30,"Europe"
"Pakistan","pakistan","193,869,000","2019",31,"South Asia"
"Argentina","argentina","193,205,000","2019",32,"South America"
"Ukraine","ukraine","185,686,000","2019",33,"Europe"
"Algeria","algeria","151,633,000","2019",34,"Africa"
"Iraq","iraq","143,479,000","2019",35,"Middle East"
"Philippines","philippines","142,282,000","2019",36,"East and Southeast Asia"
"Belgium","belgium","128,247,000","2019",37,"Europe"
"Qatar","qatar","111,922,000","2019",38,"Middle East"
"Turkmenistan","turkmenistan","109,037,000","2019",39,"Central Asia"
"Nigeria","nigeria","104,494,000","2019",40,"Africa"
"Venezuela","venezuela","103,708,000","2019",41,"South America"
"Uzbekistan","uzbekistan","102,965,000","2019",42,"Central Asia"
"Czechia","czechia","99,533,000","2019",43,"Europe"
"Bangladesh","bangladesh","96,180,000","2019",44,"South Asia"
"Kuwait","kuwait","92,582,000","2019",45,"Middle East"
"Hong Kong","hong-kong","92,493,000","2019",46,"East and Southeast Asia"
"Chile","chile","88,333,000","2019",47,"South America"
"Colombia","colombia","81,007,000","2019",48,"South America"
"Oman","oman","76,321,000","2019",49,"Middle East"
"Greece","greece","70,163,000","2019",50,"Europe"
"Romania","romania","68,746,000","2019",51,"Europe"
"Austria","austria","65,540,000","2019",52,"Europe"
"Israel","israel","61,092,000","2019",53,"Middle East"
"Morocco","morocco","60,200,000","2019",54,"Africa"
"Peru","peru","54,996,000","2019",55,"South America"
"Belarus","belarus","54,695,000","2019",56,"Europe"
"Portugal","portugal","50,370,000","2019",57,"Europe"
"Hungary","hungary","48,589,000","2019",58,"Europe"
"Sweden","sweden","48,144,000","2019",59,"Europe"
"Serbia","serbia","47,735,000","2019",60,"Europe"
"Bahrain","bahrain","43,112,000","2019",61,"Middle East"
"Finland","finland","41,996,000","2019",62,"Europe"
"Laos","laos","40,726,000","2019",63,"East and Southeast Asia"
"New Zealand","new-zealand","40,344,000","2019",64,"Australia and Oceania"
"Trinidad and Tobago","trinidad-and-tobago","39,652,000","2019",65,"Central America and the Caribbean"
"Switzerland","switzerland","38,739,000","2019",66,"Europe"
"Bulgaria","bulgaria","38,373,000","2019",67,"Europe"
"Libya","libya","38,297,000","2019",68,"Africa"
"Norway","norway","36,731,000","2019",69,"Europe"
"Ecuador","ecuador","36,051,000","2019",70,"South America"
"Ireland","ireland","35,475,000","2019",71,"Europe"
"Azerbaijan","azerbaijan","35,389,000","2019",72,"Middle East"
"Denmark","denmark","33,850,000","2019",73,"Europe"
"Slovakia","slovakia","32,506,000","2019",74,"Europe"
"Burma","burma","31,848,000","2019",75,"East and Southeast Asia"
"Syria","syria","26,893,000","2019",76,"Middle East"
"Dominican Republic","dominican-republic","26,808,000","2019",77,"Central America and the Caribbean"
"Lebanon","lebanon","25,838,000","2019",78,"Middle East"
"Panama","panama","25,263,000","2019",79,"Central America and the Caribbean"
"Sri Lanka","sri-lanka","23,939,000","2019",80,"South Asia"
"Tunisia","tunisia","23,692,000","2019",81,"Africa"
"Jordan","jordan","23,470,000","2019",82,"Middle East"
"Mongolia","mongolia","22,740,000","2019",83,"East and Southeast Asia"
"Angola","angola","19,362,000","2019",84,"Africa"
"Guatemala","guatemala","19,041,000","2019",85,"Central America and the Caribbean"
"Puerto Rico","puerto-rico","18,999,000","2019",86,"Central America and the Caribbean"
"Korea, North","korea-north","18,465,000","2019",87,"East and Southeast Asia"
"Ghana","ghana","18,093,000","2019",88,"Africa"
"Bolivia","bolivia","17,786,000","2019",89,"South America"
"Kenya","kenya","17,709,000","2019",90,"Africa"
"Sudan","sudan","17,319,000","2019",91,"Africa"
"Ethiopia","ethiopia","16,798,000","2019",92,"Africa"
"Croatia","croatia","16,752,000","2019",93,"Europe"
"Cuba","cuba","16,478,000","2019",94,"Central America and the Caribbean"
"Bosnia and Herzegovina","bosnia-and-herzegovina","16,209,000","2019",95,"Europe"
"Lithuania","lithuania","14,503,000","2019",96,"Europe"
"Gibraltar","gibraltar","14,256,000","2019",97,"Europe"
"Cambodia","cambodia","13,844,000","2019",98,"East and Southeast Asia"
"Slovenia","slovenia","13,553,000","2019",99,"Europe"
"Cote d'Ivoire","cote-divoire","11,880,000","2019",100,"Africa"
"Tanzania","tanzania","11,491,000","2019",101,"Africa"
"Luxembourg","luxembourg","11,308,000","2019",102,"Europe"
"Senegal","senegal","10,696,000","2019",103,"Africa"
"Georgia","georgia","10,299,000","2019",104,"Middle East"
"Yemen","yemen","10,158,000","2019",105,"Middle East"
"Jamaica","jamaica","10,002,000","2019",106,"Central America and the Caribbean"
"Brunei","brunei","9,956,000","2019",107,"East and Southeast Asia"
"Malta","malta","9,576,000","2019",108,"Europe"
"Honduras","honduras","8,523,000","2019",109,"Central America and the Caribbean"
"Latvia","latvia","8,450,000","2019",110,"Europe"
"Costa Rica","costa-rica","8,115,000","2019",111,"Central America and the Caribbean"
"Moldova","moldova","8,114,000","2019",112,"Europe"
"Cyprus","cyprus","8,024,000","2019",113,"Europe"
"Kosovo","kosovo","8,009,000","2019",114,"Europe"
"Zimbabwe","zimbabwe","7,902,000","2019",115,"Africa"
"Paraguay","paraguay","7,896,000","2019",116,"South America"
"Afghanistan","afghanistan","7,893,000","2019",117,"South Asia"
"Kyrgyzstan","kyrgyzstan","7,880,000","2019",118,"Central Asia"
"Mozambique","mozambique","7,753,000","2019",119,"Africa"
"Nepal","nepal","7,708,000","2019",120,"South Asia"
"Tajikistan","tajikistan","7,643,000","2019",121,"Central Asia"
"El Salvador","el-salvador","7,632,000","2019",122,"Central America and the Caribbean"
"North Macedonia","north-macedonia","7,383,000","2019",123,"Europe"
"Mauritius","mauritius","7,191,000","2019",124,"Africa"
"Cameroon","cameroon","7,105,000","2019",125,"Africa"
"Benin","benin","6,903,000","2019",126,"Africa"
"Zambia","zambia","6,798,000","2019",127,"Africa"
"Papua New Guinea","papua-new-guinea","6,491,000","2019",128,"East and Southeast Asia"
"Uruguay","uruguay","6,450,000","2019",129,"South America"
"Armenia","armenia","6,354,000","2019",130,"Middle East"
"Botswana","botswana","5,965,000","2019",131,"Africa"
"New Caledonia","new-caledonia","5,886,000","2019",132,"Australia and Oceania"
"Uganda","uganda","5,841,000","2019",133,"Africa"
"Mali","mali","5,679,000","2019",134,"Africa"
"Estonia","estonia","4,924,000","2019",135,"Europe"
"Nicaragua","nicaragua","4,851,000","2019",136,"Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","4,528,000","2019",137,"Africa"
"Congo, Republic of the","congo-republic-of-the","4,523,000","2019",138,"Africa"
"Burkina Faso","burkina-faso","4,444,000","2019",139,"Africa"
"Madagascar","madagascar","4,218,000","2019",140,"Africa"
"Mauritania","mauritania","4,041,000","2019",141,"Africa"
"Bahamas, The","bahamas-the","3,984,000","2019",142,"Central America and the Caribbean"
"Namibia","namibia","3,831,000","2019",143,"Africa"
"Albania","albania","3,794,000","2019",144,"Europe"
"Gaza Strip","gaza-strip","3,341,000","2019",145,"Middle East"
"West Bank","west-bank","3,341,000","2019",146,"Middle East"
"Iceland","iceland","3,337,000","2019",147,"Europe"
"Haiti","haiti","3,139,000","2019",148,"Central America and the Caribbean"
"Guinea","guinea","2,981,000","2019",149,"Africa"
"Guyana","guyana","2,743,000","2019",150,"South America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","2,653,000","2019",151,"Africa"
"Gabon","gabon","2,651,000","2019",152,"Africa"
"Montenegro","montenegro","2,447,000","2019",153,"Europe"
"Virgin Islands","virgin-islands","2,438,000","2019",154,"Central America and the Caribbean"
"Niger","niger","2,374,000","2019",155,"Africa"
"Suriname","suriname","2,372,000","2019",156,"South America"
"Maldives, Republic of","maldives","2,286,000","2019",157,"South Asia"
"Togo","togo","2,244,000","2019",158,"Africa"
"Macau","macau","2,012,000","2019",159,"East and Southeast Asia"
"Guam","guam","1,828,000","2019",160,"Australia and Oceania"
"South Sudan","south-sudan","1,778,000","2019",161,"Africa"
"Chad","chad","1,771,000","2019",162,"Africa"
"Barbados","barbados","1,703,000","2019",163,"Central America and the Caribbean"
"Fiji","fiji","1,691,000","2019",164,"Australia and Oceania"
"Malawi","malawi","1,542,000","2019",165,"Africa"
"Liberia","liberia","1,346,000","2019",166,"Africa"
"Wake Island","wake-island","1,275,000","2019",167,"Australia and Oceania"
"Aruba","aruba","1,254,000","2019",168,"Central America and the Caribbean"
"Eswatini","eswatini","1,224,000","2019",169,"Africa"
"Rwanda","rwanda","1,189,000","2019",170,"Africa"
"Seychelles","seychelles","1,156,000","2019",171,"Africa"
"French Polynesia","french-polynesia","1,030,000","2019",172,"Australia and Oceania"
"Cabo Verde","cabo-verde","1,002,000","2019",173,"Africa"
"Bhutan","bhutan","934,000","2019",174,"South Asia"
"Sierra Leone","sierra-leone","899,000","2019",175,"Africa"
"Somalia","somalia","882,000","2019",176,"Africa"
"Faroe Islands","faroe-islands","870,000","2019",177,"Europe"
"Cayman Islands","cayman-islands","808,000","2019",178,"Central America and the Caribbean"
"Eritrea","eritrea","798,000","2019",179,"Africa"
"Bermuda","bermuda","796,000","2019",180,"North America"
"Lesotho","lesotho","736,000","2019",181,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","729,000","2019",182,"Central America and the Caribbean"
"Burundi","burundi","715,000","2019",183,"Africa"
"Saint Lucia","saint-lucia","659,000","2019",184,"Central America and the Caribbean"
"Djibouti","djibouti","610,000","2019",185,"Africa"
"Gambia, The","gambia-the","606,000","2019",186,"Africa"
"Greenland","greenland","605,000","2019",187,"North America"
"Belize","belize","541,000","2019",188,"Central America and the Caribbean"
"Timor-Leste","timor-leste","538,000","2019",189,"East and Southeast Asia"
"Jersey","jersey","450,000","2012",190,"Europe"
"Samoa","samoa","355,000","2019",191,"Australia and Oceania"
"American Samoa","american-samoa","355,000","2019",192,"Australia and Oceania"
"Guinea-Bissau","guinea-bissau","342,000","2019",193,"Africa"
"Solomon Islands","solomon-islands","333,000","2019",194,"Australia and Oceania"
"Comoros","comoros","326,000","2019",195,"Africa"
"Grenada","grenada","316,000","2019",196,"Central America and the Caribbean"
"Marshall Islands","marshall-islands","293,700","2017",197,"Australia and Oceania"
"Central African Republic","central-african-republic","285,000","2019",198,"Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","268,000","2019",199,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","245,000","2019",200,"Central America and the Caribbean"
"Vanuatu","vanuatu","225,000","2019",201,"Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","202,000","2019",202,"Central America and the Caribbean"
"Dominica","dominica","182,000","2019",203,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","177,000","2019",204,"Australia and Oceania"
"British Virgin Islands","british-virgin-islands","173,000","2019",205,"Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","173,000","2019",206,"Africa"
"Tonga","tonga","171,000","2019",207,"Australia and Oceania"
"Cook Islands","cook-islands","114,000","2019",208,"Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","84,000","2019",209,"North America"
"Kiribati","kiribati","76,000","2019",210,"Australia and Oceania"
"Nauru","nauru","66,000","2019",211,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","46,000","2019",212,"South America"
"Montserrat","montserrat","33,000","2019",213,"Central America and the Caribbean"
"Antarctica","antarctica","28,000","2019",214,"Antarctica"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","13,000","2019",215,"Africa"
"Niue","niue","8,000","2019",216,"Australia and Oceania"
"Northern Mariana Islands","northern-mariana-islands","0","2019",217,"Australia and Oceania"
"Tuvalu","tuvalu","0","2019",218,"Australia and Oceania"